Skigebiet,Saisonkarte_Erwachsene,Saisonkarte_Kinder,Tageskarte_Erwachsene,Tageskarte_Kinder,Online_Kaufen
Sattel - Hochstuckli,230.0,115.0,35.0,19.0,
Savognin,500.0,300.0,46.0,26.0,
Schwanden - Sigriswil,250.0,170.0,32.0,20.0,
Schwarzenbühl - Selital,333.0,222.0,40.0,20.0,
Schwarzsee,899.0,399.0,41.0,26.0,
Schwellbrunn - Appenzellerland,220.0,100.0,25.0,18.0,
Schwyz - Ibergeregg (Mythen),260.0,190.0,28.0,20.0,
Schönengrund - Appenzellerland,220.0,100.0,25.0,18.0,
Scuol Motta Naluns,810.0,406.0,69.0,32.0,
Splügen,590.0,0.0,52.0,15.0,
St Cergue,480.0,357.0,40.0,29.7,
St. Antönien,300.0,200.0,32.0,22.0,
St. Moritz,2190.0,730.0,,,
St. Moritz - Corviglia,1220.0,406.0,,,
St. Peter - Hochwang,570.0,204.0,45.0,20.0,
Stoos,670.0,330.0,58.0,30.0,
Sörenberg,590.0,295.0,58.0,29.0,
Thyon - 4 Vallées,1449.0,500.0,85.0,43.0,
Torgon,706.0,530.0,67.0,50.0,
Tschappina Heinzenberg,340.0,190.0,36.0,22.0,
Tschiertschen,625.0,210.0,56.0,0.0,
Unterbäch,520.0,364.0,44.0,30.0,
Val Müstair - Minschuns,350.0,220.0,42.0,30.0,
Vals,333.0,,39.0,0.0,
Verbier,1449.0,,87.0,43.0,
Vercorin,899.0,399.0,58.0,35.0,
Veysonnaz,1219.0,,79.0,40.0,
Vichères - Liddes,99.0,99.0,43.0,28.0,
Villars - Gryon,899.0,399.0,69.0,47.0,
Wildhaus - Toggenburg,695.0,345.0,55.0,28.0,
Wolzenalp - Krummenau,360.0,260.0,36.0,26.0,
Zermatt,1750.0,875.0,95.0,,
Zuoz,1220.0,406.0,,,
